coreid,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementDeterminedDate,measurementDeterminedBy,measurementRemarks
257378,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257381,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257383,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257385,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257390,Habitat,,"woody wetlands",,,2021-04-28T08:23:21Z,egbot,
257391,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257395,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257396,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257397,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257401,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257408,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257415,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257419,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257425,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257429,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257431,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257433,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257439,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257441,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257443,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257446,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257448,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257449,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257453,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257456,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
257459,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
258824,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
262428,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262432,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262445,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262446,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262453,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262468,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262469,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262481,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262486,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262488,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262489,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262490,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262491,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262492,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262493,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262494,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262495,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262498,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262499,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262500,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262501,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262502,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262503,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262505,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262510,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262512,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262516,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262517,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262518,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262519,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262520,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262524,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262525,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262526,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262527,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262531,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262536,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262538,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262539,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262540,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262541,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262543,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262544,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262545,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262546,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262548,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262550,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262552,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262554,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262556,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262557,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262558,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262559,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262560,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262561,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262562,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262563,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262564,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262566,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262567,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262568,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262569,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262572,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262575,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262577,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262601,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262606,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262608,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262611,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262612,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262614,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262616,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262618,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262619,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262621,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262626,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262627,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262633,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262635,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262637,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262639,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262640,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262641,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262642,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262645,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262647,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262648,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262650,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262651,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262652,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262653,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262654,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262655,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262657,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262659,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262663,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262665,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262667,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262681,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262696,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262701,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262709,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262710,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
262711,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262715,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262724,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262725,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262727,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262728,Habitat,,"grassland herbaceous",,,2021-04-28T08:23:21Z,egbot,
262756,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262762,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262764,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262775,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262779,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262780,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262783,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262784,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262787,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262788,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262789,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
262790,Habitat,,"cultivated crops",,,2021-04-28T08:23:21Z,egbot,
268734,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268737,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268742,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268747,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268750,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268751,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268752,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268755,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268756,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268758,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268761,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268766,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268767,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268768,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268770,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268775,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268776,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268777,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268778,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268779,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268780,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268781,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268782,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268783,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268784,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268785,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268786,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268787,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268788,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268789,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268790,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268792,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268793,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268794,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268795,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268796,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268797,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268799,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268800,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268801,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268802,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268803,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268805,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268806,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268807,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268808,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268809,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268810,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268812,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268814,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268815,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268816,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268818,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268820,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268822,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268823,Habitat,,"mixed forest",,,2021-04-28T08:23:21Z,egbot,
268824,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268826,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268828,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268831,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268832,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268833,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268835,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268836,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268838,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268840,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268841,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268842,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268844,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268847,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268848,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268849,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268850,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268851,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
268852,Habitat,,"deciduous forest",,,2021-04-28T08:23:21Z,egbot,
268853,Habitat,,"evergreen forest",,,2021-04-28T08:23:21Z,egbot,
